"","RT","Rsp","Cond","Sbj"
"1",0.401972831774355,0,0,"s1"
"2",0.24702893440027,0,0,"s1"
"3",1.36615813959167,0,0,"s1"
"4",-0.209694485516211,0,0,"s1"
"5",-1.29966400652318,1,0,"s1"
"6",0.735880312467012,0,0,"s1"
"7",0.419519270449615,0,0,"s1"
"8",-1.05344410562936,1,0,"s1"
"9",-0.339328350678937,1,0,"s1"
"10",0.756944246938072,0,0,"s1"
"11",0.847244102192064,0,0,"s1"
"12",-0.0515568603800345,0,0,"s1"
"13",1.09527928751608,0,0,"s1"
"14",1.93219713730047,0,0,"s1"
"15",0.897359352711882,0,0,"s1"
"16",-0.252666959213298,1,0,"s1"
"17",1.31938211000117,0,0,"s1"
"18",0.793310963663905,0,0,"s1"
"19",0.661743292138676,0,0,"s1"
"20",-1.83099717522658,1,0,"s1"
"21",0.911745533942335,0,0,"s1"
"22",-0.329949127790464,0,0,"s1"
"23",1.6725878917877,0,0,"s1"
"24",-0.880219146162254,1,0,"s1"
"25",2.94122822242101,0,0,"s1"
"26",0.592105441034878,0,0,"s1"
"27",0.753876355752121,0,0,"s1"
"28",0.0674435835982236,0,0,"s1"
"29",-1.94545483344602,1,0,"s1"
"30",0.623693769664632,0,0,"s1"
"31",1.13437383692446,0,0,"s1"
"32",-1.80949351275111,1,0,"s1"
"33",-0.272702505444557,0,0,"s1"
"34",-0.688266945211921,0,0,"s1"
"35",1.02867978888836,0,0,"s1"
"36",2.63139613050198,0,0,"s1"
"37",0.883870423836853,0,0,"s1"
"38",1.19066864276741,0,0,"s1"
"39",1.3342814855648,0,0,"s1"
"40",0.388081654532123,0,0,"s1"
"41",0.507978253738811,0,0,"s1"
"42",0.144289373551495,0,0,"s1"
"43",0.127172581144294,0,0,"s1"
"44",-0.567829139960027,1,0,"s1"
"45",-0.0229584417607859,0,0,"s1"
"46",1.09609881242071,0,0,"s1"
"47",-0.512915251477119,1,0,"s1"
"48",0.842893959035121,0,0,"s1"
"49",-1.26353765808518,1,0,"s1"
"50",-2.22432127704677,1,0,"s1"
"51",0.543024968763156,0,0,"s1"
"52",-0.231310751940536,0,0,"s1"
"53",-0.560462178913979,1,0,"s1"
"54",-0.79321212728658,1,0,"s1"
"55",-1.3629111453093,0,0,"s1"
"56",0.0857165373343346,0,0,"s1"
"57",-0.47690267249291,1,0,"s1"
"58",0.429748665430251,0,0,"s1"
"59",-0.10260711587061,0,0,"s1"
"60",-1.13082681618893,1,0,"s1"
"61",-0.0251929789368585,0,0,"s1"
"62",-0.927444958319122,0,0,"s1"
"63",0.859457684395986,0,0,"s1"
"64",1.96604049167331,0,0,"s1"
"65",1.26388509825066,0,0,"s1"
"66",-0.453550522145072,1,0,"s1"
"67",0.465902005120433,0,0,"s1"
"68",0.768884462479075,0,0,"s1"
"69",-0.223325468805411,0,0,"s1"
"70",0.694498885145794,0,0,"s1"
"71",0.63569687022343,0,0,"s1"
"72",0.962348117952771,0,0,"s1"
"73",1.34817098052523,0,0,"s1"
"74",0.232411215895271,0,0,"s1"
"75",0.964383640726242,0,0,"s1"
"76",-1.56649126950864,1,0,"s1"
"77",-1.124763737973,1,0,"s1"
"78",-0.826059067196541,0,0,"s1"
"79",-0.93953917887138,1,0,"s1"
"80",-1.00608841091321,0,0,"s1"
"81",-0.916252839991547,1,0,"s1"
"82",0.577399363066099,0,0,"s1"
"83",-0.950533233226277,0,0,"s1"
"84",-0.781548017025161,1,0,"s1"
"85",0.492373252580866,0,0,"s1"
"86",0.265067101338151,0,0,"s1"
"87",-1.35123002546876,1,0,"s1"
"88",-1.60025733327815,1,0,"s1"
"89",1.20234725712644,0,0,"s1"
"90",0.873140315387427,0,0,"s1"
"91",-0.0544340679056284,0,0,"s1"
"92",0.185372346220735,0,0,"s1"
"93",-0.586236451493054,0,0,"s1"
"94",0.0632772804832741,1,0,"s1"
"95",0.744350657572919,0,0,"s1"
"96",0.403368770282891,0,0,"s1"
"97",-0.487913751279523,1,0,"s1"
"98",0.557752628190382,0,0,"s1"
"99",1.42446775276068,0,0,"s1"
"100",2.06152654622961,0,0,"s1"
